Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team,salary,position,season,height
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.534,0.257,0.23600000000000002,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,Memphis Grizzlies,9073050, SF,2019-2020,205.74
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.534,0.257,0.23600000000000002,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,Memphis Grizzlies,9073050, SF,2019-2020,205.74
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.534,0.257,0.23600000000000002,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,Memphis Grizzlies,9073050, SF,2019-2020,205.74
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.534,0.257,0.23600000000000002,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,Memphis Grizzlies,9073050, SF,2019-2020,205.74
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.534,0.257,0.23600000000000002,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,Memphis Grizzlies,9073050, SF,2019-2020,205.74
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,208.28
Ryan Anderson,C,31,HOU,2,14,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0,Houston Rockets,1620564, PF,2019-2020,205.74
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6,Milwaukee Bucks,25842697, PF,2019-2020,205.74
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6,Milwaukee Bucks,25842697, PF,2019-2020,210.82
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6,Milwaukee Bucks,25842697, PF,2019-2020,210.82
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6,Milwaukee Bucks,25842697, PF,2019-2020,210.82
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6,Milwaukee Bucks,25842697, PF,2019-2020,210.82
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6,Milwaukee Bucks,25842697, PF,2019-2020,210.82
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6,Milwaukee Bucks,25842697, PF,2019-2020,210.82
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6,Milwaukee Bucks,25842697, PF,2019-2020,210.82
Thanasis Antetokounmpo,SF,27,MIL,20,129,12.2,0.496,0.20800000000000002,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0.0,Milwaukee Bucks,1445697, SF,2019-2020,200.66
Thanasis Antetokounmpo,SF,27,MIL,20,129,12.2,0.496,0.20800000000000002,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0.0,Milwaukee Bucks,1445697, SF,2019-2020,198.12
Thanasis Antetokounmpo,SF,27,MIL,20,129,12.2,0.496,0.20800000000000002,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0.0,Milwaukee Bucks,1445697, SF,2019-2020,198.12
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
